customer_unique_id,Customer Segment,customer_state,Customer Type,Sum of Orders Count,Year,Quarter,Month,Year,Quarter,Month,Total Revenue
8d50f5eadf50201ccdcedfb9e2ac8455,Gold,SP,New,15,2017,Qtr 2,June,2018,Qtr 3,August,714.63
3e43e6105506432c953e165fb2acf44c,Gold,SP,New,9,2017,Qtr 3,September,2018,Qtr 1,February,1000.85
1b6c7548a2a1f9037c1fd3ddfed95f33,Gold,MG,New,7,2017,Qtr 4,November,2018,Qtr 1,February,809.21
6469f99c1f9dfae7733b25662e7f1782,Gold,SP,New,7,2017,Qtr 3,September,2018,Qtr 2,June,664.2
ca77025e7201e3b30c44b472ff346268,Gold,PE,New,7,2017,Qtr 4,October,2018,Qtr 2,June,806.61
12f5d6e1cbf93dafd9dcc19095df0b3d,Bronze,PR,New,6,2017,Qtr 1,January,2017,Qtr 1,January,58.4
47c1a3033b8b77b3ab6e109eb4d5fdf3,Gold,SP,New,6,2017,Qtr 3,August,2018,Qtr 1,January,836.6
63cfc61cee11cbe306bff5857d00bfe4,Gold,RJ,New,6,2017,Qtr 2,May,2018,Qtr 2,May,579.81
dc813062e0fc23409cd255f7f53c7074,Gold,PE,New,6,2017,Qtr 3,July,2018,Qtr 3,August,687.76
f0e310a6839dce9de1638e0fe5ab282a,Silver,ES,New,6,2017,Qtr 2,May,2018,Qtr 2,April,438.09
35ecdf6858edc6427223b64804cf028e,Silver,MA,New,5,2017,Qtr 3,August,2018,Qtr 1,March,393.86
394ac4de8f3acb14253c177f0e15bc58,Gold,SP,New,5,2017,Qtr 4,December,2018,Qtr 3,August,633.16
4e65032f1f574189fb793bac5a867bbc,Silver,SP,New,5,2017,Qtr 1,March,2018,Qtr 2,June,404.57
56c8638e7c058b98aae6d74d2dd6ea23,Gold,MG,New,5,2017,Qtr 3,July,2018,Qtr 2,April,633.97
5e8f38a9a1c023f3db718edcf926a2db,Gold,BA,New,5,2017,Qtr 3,August,2018,Qtr 1,March,994.8
74cb1ad7e6d5674325c1f99b5ea30d82,Silver,SP,New,5,2017,Qtr 3,August,2018,Qtr 2,April,334.5
b4e4f24de1e8725b74e4a1f4975116ed,Bronze,MG,New,5,2018,Qtr 1,February,2018,Qtr 1,March,200.28
de34b16117594161a6a89c50b289d35a,Silver,SP,New,5,2017,Qtr 4,November,2018,Qtr 1,January,486
fe81bb32c243a86b2f86fbf053fe6140,VIP,SP,New,5,2017,Qtr 4,October,2018,Qtr 2,June,1535.4
08e5b38d7948d37fbb2a59fc5e175ab1,Gold,PB,New,4,2018,Qtr 1,March,2018,Qtr 2,May,866.79
12d8b5ed661190a3a08183644dfc504d,Gold,ES,New,4,2017,Qtr 1,March,2018,Qtr 2,May,697.84
25a560b9a6006157838aab1bdbd68624,Bronze,RS,New,4,2017,Qtr 2,April,2017,Qtr 2,April,67.6
2ddc001b620bd90d0f4378cfde1db887,Silver,SP,New,4,2017,Qtr 3,September,2018,Qtr 2,April,422.35
397b44d5bb99eabf54ea9c2b41ebb905,VIP,RJ,New,4,2018,Qtr 1,January,2018,Qtr 2,June,1650
4facc2e6fbc2bffab2fea92d2b4aa7e4,VIP,RS,New,4,2017,Qtr 2,June,2018,Qtr 3,August,1686.9
6358b15ef7fa9b1210f1a5735cabd3d9,Silver,SP,New,4,2018,Qtr 1,March,2018,Qtr 2,June,279.6
7305430719d715992b00be82af4a6aa8,Silver,RS,New,4,2017,Qtr 3,July,2018,Qtr 3,August,364.3
795c1622cf7a53d63d324e862349d01c,Silver,PR,New,4,2018,Qtr 1,January,2018,Qtr 3,August,281.2
83e7958a94bd7f74a9414d8782f87628,New / Low Value,PR,New,4,2017,Qtr 1,January,2017,Qtr 1,January,38.6
9cc5a07f169a1606fd347a56683e6ea6,Silver,RJ,New,4,2017,Qtr 4,December,2018,Qtr 3,August,365.7
a0abd26659c9914690cbd3320d39fd96,Silver,RS,New,4,2017,Qtr 2,May,2018,Qtr 2,June,327.19
a1874c5550d2f0bc14cc122164603713,Gold,RJ,New,4,2017,Qtr 2,June,2018,Qtr 2,May,670.39
a239b8e2fbce33780f1f1912e2ee5275,Silver,AM,New,4,2017,Qtr 1,February,2017,Qtr 1,February,399.7
a73c5464692d3bc09d64e3edefae9015,Silver,SP,New,4,2017,Qtr 3,August,2018,Qtr 2,June,259.49
a7657330b1c135f3acd420326e335b2c,Silver,MG,New,4,2017,Qtr 2,May,2017,Qtr 4,November,569.48
acea6bd29b8c1e3c6a8b266a8fb4475e,Silver,RO,New,4,2017,Qtr 3,August,2018,Qtr 2,May,494.48
b08fab27d47a1eb6deda07bfd965ad43,Silver,ES,New,4,2017,Qtr 3,September,2017,Qtr 3,September,404.8
b2bd387fdc3cf05931f0f897d607dc88,Silver,SP,New,4,2018,Qtr 1,February,2018,Qtr 1,March,547.14
b39dde6dd619943190a8cc9aa6db38a4,Gold,SP,New,4,2017,Qtr 1,March,2018,Qtr 1,February,681.6
b896655e2083a1d76b7b85df8fc86e40,Silver,SP,New,4,2017,Qtr 3,September,2018,Qtr 3,July,439.4
c37cc6c1a59d81460a3059744f7ada1c,Silver,SC,New,4,2017,Qtr 3,July,2018,Qtr 2,June,574.47
c8460e4251689ba205045f3ea17884a1,VIP,RS,New,4,2018,Qtr 3,August,2018,Qtr 3,August,4080
d3359a56d96666ac0c21bb01e7a61c95,Silver,SP,New,4,2017,Qtr 3,August,2018,Qtr 1,March,356.92
ec7f1811826ab04a27a92197bc40c888,Silver,RJ,New,4,2017,Qtr 4,November,2017,Qtr 4,December,487.89
f34cd7fd85a1f8baff886edf09567be3,Gold,SC,New,4,2017,Qtr 3,August,2017,Qtr 3,September,1047
f64ec6d8dd29940264cd0bbb5ecade8a,Silver,RJ,New,4,2017,Qtr 4,October,2017,Qtr 4,November,288
02e9109b7e0a985108b43e573b6afb23,Silver,SP,New,3,2017,Qtr 4,November,2018,Qtr 2,May,532.87
041caba6a63ace5818387698ea85cdb2,Bronze,SP,New,3,2017,Qtr 1,March,2018,Qtr 2,May,121.89
06a52782a04f0086d16b9c22d0e29438,Bronze,MS,New,3,2017,Qtr 2,May,2017,Qtr 2,May,105
07b1b60bca2b6326fa2adb259ea4a55f,Bronze,RS,New,3,2018,Qtr 1,March,2018,Qtr 2,May,190.4
083ca1aa470c280236380973a48f77c6,Bronze,PB,New,3,2017,Qtr 3,July,2017,Qtr 3,August,136.88
08c07c761592a71b85136aa4fe76a6f4,Silver,BA,New,3,2017,Qtr 3,August,2018,Qtr 2,April,348
0a609db8d244100909a15d65eadf8539,Silver,RJ,New,3,2017,Qtr 3,August,2017,Qtr 4,October,437.88
0a61b571f594b6919601bcf3380da7f7,Silver,MG,New,3,2017,Qtr 3,August,2018,Qtr 1,January,435.79
0b18593e033697810a62a987e77f4b8c,Bronze,MG,New,3,2017,Qtr 2,June,2018,Qtr 1,March,139.7
0cc2ee1112a11a1094eff52fa2e87150,Gold,PI,New,3,2017,Qtr 2,May,2017,Qtr 4,October,759.8
0e4cb268bd62da7db135af6349b4fc2a,Bronze,SP,New,3,2017,Qtr 4,November,2017,Qtr 4,November,157.99
1373e04979cfa0fb2092909abbd57f25,Silver,BA,New,3,2018,Qtr 1,January,2018,Qtr 2,May,516.8
182053495bc94c2f41090ce8c41be266,Bronze,MG,New,3,2018,Qtr 2,April,2018,Qtr 3,August,169.7
18a65d67bb184e736656cc017f09f7b8,Bronze,RJ,New,3,2018,Qtr 1,February,2018,Qtr 2,April,179.07
18e3d276253780b44b5b7bf83f6785ec,Bronze,SP,New,3,2017,Qtr 2,May,2017,Qtr 4,November,131.7
1b6e96ed99cb8d135efe220d761bbd67,Bronze,SP,New,3,2017,Qtr 1,March,2018,Qtr 3,August,70.69
1c628081cb579ed6035b9aa8614e69f4,Bronze,SP,New,3,2018,Qtr 1,March,2018,Qtr 2,May,168.9
1da09dd64e235e7c2f29a4faff33535c,VIP,RJ,New,3,2017,Qtr 2,May,2018,Qtr 1,January,1980.28
1fbd81e4d0a0cf9125ca038b43533b7f,Bronze,RJ,New,3,2017,Qtr 2,May,2018,Qtr 1,February,149.8
2004ba7732339d9be65f2236d8887ae4,Bronze,RJ,New,3,2017,Qtr 4,October,2018,Qtr 2,May,249.95
23339103d82a054f9729b0554ce22e8c,Bronze,SP,New,3,2018,Qtr 2,May,2018,Qtr 2,June,193.5
25f3cf83109f636d52d288fa4e797111,Bronze,RJ,New,3,2018,Qtr 1,February,2018,Qtr 1,February,78
